,tract,total_preschools_one_mile,total_preschools_five_mile,total_elementary_2.5_mile,total_good_elementary_2.5_mile,nearest_elementary_dist,PI_elementary,nearest_elementary,total_middle_2.5_mile,total_good_middle_2.5_mile,nearest_middle_dist,PI_middle,nearest_middle,total_High_2.5_mile,total_good_High_2.5_mile,nearest_High_dist,PI_High,nearest_High
297,134205,6,31,26,23,230,35,"('Grindstone Elementary School', (41.3603368, -81.86606970000001))",8,5,377,18,(),16,9,406,18,"('Berea-Midpark High School', (41.3732823, -81.8451512))"
377,134206,5,32,27,23,202,35,"('Grindstone Elementary School', (41.3603368, -81.86606970000001))",8,5,377,18,(),16,9,347,18,"('Berea-Midpark High School', (41.3732823, -81.8451512))"
411,134300,6,29,26,23,414,35,"('Grindstone Elementary School', (41.3603368, -81.86606970000001))",6,5,409,18,"('Ford Intermediate School', (41.3935777, -81.8178248))",16,9,5,18,"('Berea-Midpark High School', (41.3732823, -81.8451512))"
10,135103,6,30,26,23,235,15,"('Hilton Elementary School', (41.3273457, -81.63578000000001))",7,5,65,7,"('Brecksville-Broadview Heights Middle School', (41.329547600000005, -81.64285129999999))",16,9,151,7,"('Brecksville-Broadview Heights High School', (41.327271200000006, -81.6437947))"
298,135104,6,32,28,23,274,9,"('Chippewa Elementary School', (41.326972999999995, -81.60543009999999))",7,5,367,7,"('Brecksville-Broadview Heights Middle School', (41.329547600000005, -81.64285129999999))",16,9,395,7,"('Brecksville-Broadview Heights High School', (41.327271200000006, -81.6437947))"
426,135105,6,31,28,23,305,20,"('Highland Drive Elementary School', (41.3033531, -81.635488))",7,5,410,7,"('Brecksville-Broadview Heights Middle School', (41.329547600000005, -81.64285129999999))",16,9,408,7,"('Brecksville-Broadview Heights High School', (41.327271200000006, -81.6437947))"
362,135106,6,33,28,23,443,9,"('Chippewa Elementary School', (41.326972999999995, -81.60543009999999))",8,5,377,67,(),17,9,392,67,()
299,136101,6,32,28,23,419,12,"('Valley Vista Elementary School', (41.3330341, -81.71437879999999))",6,5,421,20,"('Hillside Middle School', (41.3663035, -81.6760349))",15,9,409,20,"('Normandy High School', (41.362539899999994, -81.6989844))"
200,136102,6,32,30,23,441,175,(),7,5,431,12,"('North Royalton Middle School', (41.3112945, -81.7334567))",16,9,434,12,"('North Royalton High School', (41.309153, -81.7331318))"
300,136103,6,31,28,23,420,15,"('Hilton Elementary School', (41.3273457, -81.63578000000001))",7,5,172,7,"('Brecksville-Broadview Heights Middle School', (41.329547600000005, -81.64285129999999))",16,9,235,7,"('Brecksville-Broadview Heights High School', (41.327271200000006, -81.6437947))"
301,137101,6,17,17,16,292,80,"('Brookridge Elementary School', (41.430575299999994, -81.7493737))",5,5,93,22,"('Brooklyn Middle School', (41.4307373, -81.7485671))",10,6,133,22,"('Brooklyn High School', (41.4305769, -81.7499083))"
367,137102,5,15,16,16,138,80,"('Brookridge Elementary School', (41.430575299999994, -81.7493737))",5,5,18,22,"('Brooklyn Middle School', (41.4307373, -81.7485671))",11,6,48,22,"('Brooklyn High School', (41.4305769, -81.7499083))"
412,137103,5,20,18,19,185,80,"('Brookridge Elementary School', (41.430575299999994, -81.7493737))",4,5,39,22,"('Brooklyn Middle School', (41.4307373, -81.7485671))",9,5,75,22,"('Brooklyn High School', (41.4305769, -81.7499083))"
302,138105,6,31,27,23,431,39,"('Fairview Park Early Education Learning Center', (41.426957, -81.861186))",8,5,377,18,(),16,9,431,18,"('Berea-Midpark High School', (41.3732823, -81.8451512))"
